queue_id,name,country,domain,whatsapp_number,whatsapp_url,primary_email,primary_linkedin,fit_score,inferred_need_1,inferred_need_2,recommended_product_1,recommended_product_2,source_description
"2","ZYCON AUTOMAÇÃO INDUSTRIAL","Brazil","zycon.com.br","+551131032100","https://wa.me/551131032100","","","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","ZYCON AUTOMAÇÃO INDUSTRIAL appears on Google Maps as a (12) in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"9","Ingeniería en Automatización y Control S.A de C.V","Mexico","iacsamexico.com.mx","+5584939063","https://wa.me/525555126061","ventas@iacsamexico.com.mx","","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Ingeniería en Automatización y Control S.A de C.V appears on Google Maps as a (87) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"12","Mitsubishi Electric Automation, Inc","Mexico","mx.mitsubishielectric.com","+525530677500","https://wa.me/525530677500","","https://www.linkedin.com/company/mitsubishi-electric-automation-inc/","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Las soluciones de automatización en fábrica de Mitsubishi Electric Automation garantizan calidad, rendimiento y compatibilidad con tecnología que permite a las empresas ser eficientes, sostenibles y seguras."
"13","JM Industrial Technology","Mexico","jmi.com.mx","+525571600129","https://wa.me/525571600129","","","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","JM Industrial Technology appears on Google Maps as a (22) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"16","INGIA SRL","Argentina","ingia.com.ar","+541177003188","https://wa.me/541177003188","","","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","INGIA SRL appears on Google Maps as a (132) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"19","Automación Argentina S.A.","Argentina","automacion.com.ar","+5449186763","https://wa.me/5449186763","","","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Automación Argentina S.A. appears on Google Maps as a (12) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"21","A-TECH ""Automatización Industrial""","Argentina","a-tech.com.ar","+541177131756","https://wa.me/541177131756","","","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","A-TECH ""Automatización Industrial"" appears on Google Maps as a (5) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"24","MTA Automatizacion","Argentina","mta.com.ar","+5491149453666","https://wa.me/5491149453666","info@mta.com.ar","https://www.linkedin.com/company/mta-srl-ar","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","MTA Automatizacion appears on Google Maps as a (8) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"25","Technosystems Chile Ltda.","Chile","technosystems.cl","+56223288900","https://wa.me/56223288900","contacto@technosystems.cl","","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Technosystems Chile Ltda. appears on Google Maps as a (36) in Chile. The lead was collected from a search related to system integrator Santiago Chile, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"26","IBM Chile","Chile","ibm.cl","+56222006000","https://wa.me/56222006000","","https://www.linkedin.com/company/ibm]","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Durante más de un siglo, IBM ha sido un innovador tecnológico global, liderando avances en inteligencia artificial, automatización y soluciones de nube híbrida que ayudan a los negocios a crecer."
"28","AUTOMATIZACION Y CONTROL INGENIERIA SAS","Colombia","aycingenieria.com","+576015171023","https://wa.me/576015171023","ventas@aycingenieria.com","https://www.linkedin.com/company/ayc-ingenier%C3%ADa/mycompany/","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Descubre la excelencia en ingeniería eléctrica industrial con A&amp;C Ingeniería S.A.S. Líderes en soluciones de automatización y control."
"34","Advance Controles Colombia SAS.","Colombia","grupoadvance.com","+576017049900","https://wa.me/576017049900","","","6.5","PLC/SCADA connectivity and protocol conversion","","ARM edge controllers","industrial gateways and routers","Advance Controles Colombia SAS. appears on Google Maps as a (1) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
