name,country,rating,leadType,phone,domain,officialEmails,linkedinUrls,whatsappNumbers,fitScore,inferredNeeds,recommendedProducts,desc
"IPA AUTOMATIZACION -Automatización y Neumática industrial SMC.","Mexico","5","(4)","+525536477562","ipaautomatizacion.com","impallari@gmail.com; team@latofonts.com; solucionesmecatronicas@hotmail.com","","+525536477562","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","IPA AUTOMATIZACION -Automatización y Neumática industrial SMC. appears on Google Maps as a (4) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Mitsubishi Electric Automation, Inc","Mexico","4.5","(42)","+525530677500","mx.mitsubishielectric.com","","https://www.linkedin.com/company/mitsubishi-electric-automation-inc/","+525530677500","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Las soluciones de automatización en fábrica de Mitsubishi Electric Automation garantizan calidad, rendimiento y compatibilidad con tecnología que permite a las empresas ser eficientes, sostenibles y seguras."
"JM Industrial Technology","Mexico","4.5","(22)","+525571600129","jmi.com.mx","","","+525571600129","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","JM Industrial Technology appears on Google Maps as a (22) in Mexico. The lead was collected from a search related to industrial automation Mexico City, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Rockwell Automation de México","Mexico","4.8","(29)","+525552462000","rockwellautomation.com","","https://www.linkedin.com/company/rockwell-automation/","+27119981000; +525552462000","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; IIoT platform connectivity and field data access","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Global automation leader's South Africa office. Provides Allen-Bradley PLCs, industrial automation, and digital transformation solutions. Major player in SA industrial automation market."
"Automatización Industrial S.H.","Argentina","5","(2)","+541159474738","","","","+541159474738","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Automatización Industrial S.H. appears on Google Maps as a (2) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"INGIA SRL","Argentina","4.7","(132)","+541177003188","ingia.com.ar","","","+541177003188","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","INGIA SRL appears on Google Maps as a (132) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Ingenia Control SRL - Automatización Industrial","Argentina","5","(1)","+541146697707","ingenia.com.ar","","","+541146697707","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Ingenia Control SRL - Automatización Industrial appears on Google Maps as a (1) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Factory Solutions - Automatización y Robótica Industrial","Argentina","5","(1)","+541155331100","factorysolutions.com.ar","","","+541155331100","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Factory Solutions - Automatización y Robótica Industrial appears on Google Maps as a (1) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Automación Argentina S.A.","Argentina","4.7","(12)","+5449186763","automacion.com.ar","","","+5449186763","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Automación Argentina S.A. appears on Google Maps as a (12) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Automatización De Portones - MG AUTOMATIZACIONES","Argentina","4.8","(17)","+5491165209991","","","","+5491165209991","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Automatización De Portones - MG AUTOMATIZACIONES appears on Google Maps as a (17) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"A-TECH ""Automatización Industrial""","Argentina","4.2","(5)","+541177131756","a-tech.com.ar","","","+541177131756","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","A-TECH ""Automatización Industrial"" appears on Google Maps as a (5) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Automatización Norte","Argentina","5","(2)","+541161154659","","","","+541161154659","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Automatización Norte appears on Google Maps as a (2) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"KDK-Argentina","Argentina","4.8","(41)","+541170780939","kdk-argentina.com","ventas@kdk-argentina.com","https://www.linkedin.com/company/kdk-argentina/","+5491135054401; +541170780939","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Proveedor de productos para automatización y control industrial: Radares, Sensores de nivel para sólidos y líquidos, sensores Inductivos y Capacitivos, Sensores ópticos, laser, de fibra optica, sensores ultrasónicos, sensores magnéticos, PT100, Termocuplas, Variadores de velocidad, Arrancadores Suaves, motores paso a paso, Encoders, Drivers, Transductores y Celdas de carga, Contactores y Guardamotores, Controles de Temperatura, Contadores, Transductores de proceso, Pantallas, displays, Sensores Magnéticos y Relés de Seguridad, Fuentes Switching, Transformadores y Cargadores, Instrumentos de Medición, Materiales Electricos, PLC, Neumática, Temporizadores, Relés electromecánicos, relés de estado sólido, Termómetros y Manometros, Termostatos y presostatos, Componentes electrónicos, Conectores y Fichas, entre otros..."
"MTA Automatizacion","Argentina","4.6","(8)","+541123610909","mta.com.ar","info@mta.com.ar; wsp@2X.png","https://www.linkedin.com/company/mta-srl-ar","+5491149453666; +541123610909","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","MTA Automatizacion appears on Google Maps as a (8) in Argentina. The lead was collected from a search related to automatización industrial Buenos Aires, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Technosystems Chile Ltda.","Chile","4.2","(36)","+56223288900","technosystems.cl","contacto@technosystems.cl","","+56223288900","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Technosystems Chile Ltda. appears on Google Maps as a (36) in Chile. The lead was collected from a search related to system integrator Santiago Chile, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"IBM Chile","Chile","4.5","(386)","+56222006000","ibm.cl","","https://www.linkedin.com/company/ibm]; https://ar.linkedin.com/company/ibm&#34;},{&#34;title&#34;:&#34;Instagram&#34;,&#34;url&#34;:&#34;https://www.instagram.com/ibm&#34;},{&#34;title&#34;:&#34;YouTube&#34;,&#34;url&#34;:&#34;https://www.youtube.com/@IBMLatinoamerica&#34;},{&#34;title&#34;:&#34;Pódcasts&#34;,&#34;url&#34;:&#34;https://www.ibm.com/think/podcasts&#34;}]},{&#34;title&#34;:&#34;Conectar&#34;,&#34;links&#34;:[{&#34;title&#34;:&#34;Asociados","+56222006000","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Durante más de un siglo, IBM ha sido un innovador tecnológico global, liderando avances en inteligencia artificial, automatización y soluciones de nube híbrida que ayudan a los negocios a crecer."
"Control y Automatización","Colombia","4.8","(11)","+573165388531","","","","+573165388531","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Control y Automatización appears on Google Maps as a (11) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"AUTOMATIZACION Y CONTROL INGENIERIA SAS","Colombia","4.4","(113)","+576015171023","aycingenieria.com","ventas@aycingenieria.com; ventas3@aycingenieria.com; ventas2@aycingenieria.com; ventas1@aycingenieria.com; john@doe.com; notificacionesjudiciales@aycingenieria.com; publicidad1@aycingenieria.com","https://www.linkedin.com/company/ayc-ingenier%C3%ADa/mycompany/","+576015171023","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Descubre la excelencia en ingeniería eléctrica industrial con A&amp;C Ingeniería S.A.S. Líderes en soluciones de automatización y control."
"Automatik Control","Colombia","5","(2)","+573173525622","grupoautomatik.com","jlugo@grupoautomatik.com; controller@grupoautomatik.com","https://www.linkedin.com/company/18647481/admin/","+573173525622","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Automatik Control appears on Google Maps as a (2) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"CONTROL4 BOGOTA","Colombia","5","(4)","+5715336827","control4colombia.com","","","+5715336827","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","CONTROL4 BOGOTA appears on Google Maps as a (4) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Multicontrol Ltda - Omron Colombia - Panamá","Colombia","4.8","(8)","+573153457101","multicontrol.com.co","sede.bogota@multicontrol.com.co; barranquilla@multicontrol.com.co; cali@multicontrol.com.co; medellin@multicontrol.com.co; ventaspanama@multicontrol.com.co","","+573153457101","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Multicontrol Ltda - Omron Colombia - Panamá appears on Google Maps as a (8) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"One Automatización - Control4","Colombia","5","(2)","+573123281386","oneautomatizacion.com","info@oneautomatizacion.com","","+573123281386","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","One Automatización - Control4 appears on Google Maps as a (2) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Control de Acceso","Colombia","5","(1)","+573152150669","","","","+573152150669","7.3","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Control de Acceso appears on Google Maps as a (1) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Advance Controles Colombia SAS.","Colombia","4","(1)","+576017049900","grupoadvance.com","","","+576017049900","6.5","PLC/SCADA connectivity and protocol conversion","ARM edge controllers; industrial gateways and routers","Advance Controles Colombia SAS. appears on Google Maps as a (1) in Colombia. The lead was collected from a search related to automation control Bogotá, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Abreu Automação de Portões em Belo Horizonte","Brazil","5","(10)","+553130240132","","","","+553130240132","8.3","PLC/SCADA connectivity and protocol conversion; building automation and HVAC integration","ARM edge controllers; industrial gateways and routers; remote I/O and data acquisition devices","Abreu Automação de Portões em Belo Horizonte appears on Google Maps as a (10) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Automation Security And Services","Brazil","5","(12)","+553133149900","automationsolutions.com.br","comercial@automationsolutions.com.br","","+553133149900","8.3","PLC/SCADA connectivity and protocol conversion; building automation and HVAC integration","ARM edge controllers; industrial gateways and routers; remote I/O and data acquisition devices","Automação"
"Tecai","Brazil","4.8","(23)","+553131411000","tecai.com.br","contato@tecai.com.br; user@domain.com","","+553131411000","8.3","PLC/SCADA connectivity and protocol conversion; building automation and HVAC integration","ARM edge controllers; industrial gateways and routers; remote I/O and data acquisition devices","Conheça a Tecai! Empresa especializada em automação residencial e corporativa, áudio e vídeo. Com tecnologia inovadora, fazemos a instalação sem obra!"
"Live Automação","Brazil","4.4","(25)","+553133355335","liveautomacao.com.br","","","+553133355335","7.5","PLC/SCADA connectivity and protocol conversion; building automation and HVAC integration","ARM edge controllers; industrial gateways and routers; remote I/O and data acquisition devices","Live Automação appears on Google Maps as a (25) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"BH Automação Residencial","Brazil","5","(1)","+5531984587764","bhautomacao.com.br","","","+5531984587764","8.3","PLC/SCADA connectivity and protocol conversion; building automation and HVAC integration","ARM edge controllers; industrial gateways and routers; remote I/O and data acquisition devices","BH Automação Residencial appears on Google Maps as a (1) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
"Versão Brasileira Vídeo e Multimídia Ltda","Brazil","4.4","(14)","+553132275090","","","","+553132275090","7.5","PLC/SCADA connectivity and protocol conversion; building automation and HVAC integration","ARM edge controllers; industrial gateways and routers; remote I/O and data acquisition devices","Versão Brasileira Vídeo e Multimídia Ltda appears on Google Maps as a (14) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work."
